업종,시도,시군구,당월,전월,전년동월
가구점,서울특별시,종로구,18,18,17
가구점,서울특별시,중구,65,63,62
가구점,서울특별시,용산구,41,39,35
가구점,서울특별시,성동구,33,34,29
가구점,서울특별시,광진구,32,32,36
가구점,서울특별시,동대문구,35,35,31
가구점,서울특별시,중랑구,29,27,33
가구점,서울특별시,성북구,31,33,38
가구점,서울특별시,강북구,26,26,23
가구점,서울특별시,도봉구,17,17,15
가구점,서울특별시,노원구,38,38,38
가구점,서울특별시,은평구,38,38,37
가구점,서울특별시,서대문구,49,50,49
가구점,서울특별시,마포구,38,38,41
가구점,서울특별시,양천구,29,29,28
가구점,서울특별시,강서구,39,39,40
가구점,서울특별시,구로구,23,22,25
가구점,서울특별시,금천구,22,22,22
가구점,서울특별시,영등포구,28,28,28
가구점,서울특별시,동작구,20,20,22
가구점,서울특별시,관악구,30,28,32
가구점,서울특별시,서초구,80,81,79
가구점,서울특별시,강남구,110,110,109
가구점,서울특별시,송파구,75,77,71
가구점,서울특별시,강동구,41,39,35
가구점,부산광역시,중구,8,8,9
가구점,부산광역시,서구,9,9,8
가구점,부산광역시,동구,53,54,54
가구점,부산광역시,영도구,8,8,8
가구점,부산광역시,부산진구,33,35,34
가구점,부산광역시,동래구,30,30,32
가구점,부산광역시,남구,15,16,21
가구점,부산광역시,북구,17,17,19
가구점,부산광역시,해운대구,78,79,73
가구점,부산광역시,사하구,38,38,42
가구점,부산광역시,금정구,25,26,29
가구점,부산광역시,강서구,23,24,26
가구점,부산광역시,연제구,24,24,24
가구점,부산광역시,수영구,27,27,27
가구점,부산광역시,사상구,24,24,23
가구점,부산광역시,기장군,24,23,19
가구점,대구광역시,중구,14,13,12
가구점,대구광역시,동구,41,39,46
가구점,대구광역시,서구,43,44,41
가구점,대구광역시,남구,21,21,22
가구점,대구광역시,북구,96,96,97
가구점,대구광역시,수성구,43,44,46
가구점,대구광역시,달서구,31,31,33
가구점,대구광역시,달성군,26,26,27
가구점,대구광역시,군위군,0,0,0
가구점,인천광역시,중구,16,17,16
가구점,인천광역시,동구,11,12,15
가구점,인천광역시,미추홀구,46,46,41
가구점,인천광역시,연수구,34,35,33
가구점,인천광역시,남동구,69,68,63
가구점,인천광역시,부평구,45,45,42
가구점,인천광역시,계양구,30,30,32
가구점,인천광역시,서구,78,79,82
가구점,인천광역시,강화군,5,6,5
가구점,인천광역시,옹진군,0,0,0
가구점,광주광역시,동구,19,18,20
가구점,광주광역시,서구,72,72,67
가구점,광주광역시,남구,13,14,15
가구점,광주광역시,북구,50,52,52
가구점,광주광역시,광산구,47,47,50
가구점,대전광역시,동구,23,23,22
가구점,대전광역시,중구,40,40,43
가구점,대전광역시,서구,45,47,48
가구점,대전광역시,유성구,51,50,51
